,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
0,2736.0,1115.0,228.0,0.0,0.0,24.0,2.0,0.0,0.0,1.0,1.0,5068.0,1.0
1,3258.0,1177.0,217.0,2.0,0.0,23.0,1.0,743.0,0.0,0.0,1.0,5639.0,0.0
2,2104.0,2040.0,111.0,0.0,0.0,24.0,8.0,5793.0,2.0,1.0,0.0,5707.0,1.0
3,5435.0,289.0,308.0,0.0,0.0,21.0,1.0,0.0,1.0,0.0,0.0,4704.0,0.0
4,6899.0,1822.0,459.0,2.0,0.0,25.0,2.0,3696.0,0.0,1.0,1.0,3925.0,0.0
5,312.0,537.0,254.0,2.0,1.0,26.0,8.0,2674.0,1.0,1.0,0.0,7531.0,1.0
6,1058.0,177.0,431.0,0.0,1.0,32.0,7.0,0.0,1.0,1.0,1.0,513.0,0.0
7,3589.0,2000.0,8.0,1.0,0.0,11.0,4.0,2781.0,3.0,1.0,0.0,5978.0,1.0
8,9066.0,1146.0,110.0,0.0,1.0,26.0,4.0,4962.0,1.0,0.0,1.0,3718.0,0.0
9,1054.0,1081.0,293.0,0.0,1.0,9.0,2.0,4450.0,0.0,1.0,1.0,3550.0,0.0
10,8071.0,195.0,137.0,0.0,1.0,13.0,6.0,1719.0,1.0,0.0,0.0,3994.0,0.0
11,6866.0,83.0,106.0,2.0,1.0,6.0,3.0,0.0,1.0,1.0,0.0,3783.0,0.0
12,2640.0,1369.0,85.0,0.0,0.0,16.0,10.0,0.0,1.0,1.0,0.0,1283.0,0.0
13,5023.0,515.0,158.0,0.0,0.0,7.0,5.0,0.0,1.0,0.0,0.0,9529.0,0.0
14,1384.0,2389.0,244.0,2.0,0.0,17.0,7.0,0.0,1.0,1.0,1.0,3276.0,0.0
15,3120.0,1021.0,225.0,1.0,1.0,27.0,3.0,5028.0,1.0,0.0,1.0,3182.0,0.0
16,6877.0,2307.0,262.0,1.0,1.0,40.0,1.0,4293.0,0.0,1.0,0.0,269.0,1.0
17,8899.0,1154.0,158.0,2.0,0.0,6.0,9.0,0.0,1.0,1.0,1.0,727.0,0.0
18,3810.0,1872.0,196.0,2.0,1.0,27.0,6.0,0.0,0.0,0.0,0.0,7934.0,0.0
19,117.0,1108.0,335.0,0.0,0.0,6.0,6.0,0.0,1.0,1.0,1.0,2687.0,0.0
20,454.0,1736.0,341.0,0.0,1.0,23.0,8.0,0.0,1.0,1.0,1.0,8530.0,0.0
21,1265.0,697.0,245.0,2.0,0.0,14.0,8.0,0.0,1.0,1.0,0.0,6962.0,0.0
22,5338.0,991.0,119.0,2.0,0.0,20.0,4.0,0.0,0.0,1.0,0.0,5955.0,1.0
23,6411.0,1862.0,278.0,0.0,1.0,28.0,3.0,0.0,1.0,0.0,1.0,418.0,0.0
24,2344.0,2880.0,455.0,0.0,0.0,20.0,5.0,0.0,0.0,1.0,1.0,9367.0,0.0
25,6915.0,1642.0,186.0,0.0,1.0,7.0,3.0,0.0,1.0,0.0,1.0,6243.0,0.0
26,6854.0,2897.0,365.0,1.0,1.0,18.0,2.0,4589.0,0.0,1.0,1.0,8486.0,0.0
27,5401.0,1908.0,180.0,0.0,1.0,26.0,9.0,0.0,1.0,0.0,0.0,1889.0,0.0
